;Oh! My Goddes;ova;5;1 CD;japones;espanol;HQ;MPEG-4;Shojo;AU;;8;ahmegamisasaovas.jpg
;Shin Captain Tsubasa ;ova;13;1 DVD;japones;espanol;MQ;MPEG-4;Shonen;;Yoichi Takahashi;8;shintsubasa.jpg
;Zone of Enders (ZOE) - I DOLO;ova;1;323 MB;japones;espanol;HQ;MPEG-4;Mecha;Sekai;Hideo Kojima;9;zoe_idolo.jpg
;Card Captor Sakura: Action Video Diary & Kero-chan Special ;ova;4;143 MB;japones;ingles;LQ;MPEG-4;Shojo;Zaruel / Papacha;CLAMP;8;ccsdiary1.jpg
;Macross Zero ;ova;5;3 CD;japones;espanol;HQ;MPEG-4;Mecha;;Shoji Kawamori;8;macrosszero1.jpg
;Slayers ;ova;3;358 MB;japones;ingles;LQ;MPEG-4;Magia;;;;slayers3ovas.jpg
;Hoshi no Koe - The voice of a distant star ;ova;1;400 MB;japones;espanol;HQ;MPEG-4;Shojo;AniXtasis;;7;hoshinokoe.jpg
;Furi Kuri;ova;6;1 CD;japones;espanol;LQ;MPEG-4;Comedia;Papacha;Gainax;10;flclm.jpg
;Angel Sanctuary ;ova;3;1 CD;japones;ingles;MQ;MPEG-4;Shojo;;;7;angelsanct.jpg
;Mazinkaiser ;ova;7;2 CD;japones;espanol;HQ;MPEG-4;Mecha;Garada;Go Nagai;8;kaiser.jpg
;Rurouni Kenshin - Tsuioku Hen (Trust & Betrayal) ;ova;4;2 CD;japones;espanol;HQ;MPEG-4;Shonen;Po5i;Kazuhiro Furuhashi;10;rk4ovas.jpg
;Rurouni Kenshin - Seisou Hen (Reflection) ;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Shonen;Mangalords;Kazuhiro Furuhashi;10;seisouhen.jpg
;Rurouni Kenshin Episodio 95;ova;1;84 MB;japones;ingles;LQ;MPEG-4;Shojo;Soyokaze;Kazuhiro Furuhashi;8;kenshin95.jpg
;Akira Kurosawa's Samurai 7;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;MCF - El mejor anime;Toshifumi Takizawa;;samurai7.jpg
;School Rumble;serie;26 + 2 ova;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;;Jin Kobayashi;10;schoolrumble.jpg
;Rozen Maiden & Rozen Maiden Traumend;serie;25;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;Anime Rakuen & Spanishare & Dark;PEACH-PIT;8;rozenmaiden.jpg
